,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
121,0.9669396,0.60381657,0.7112526,0.43776554,70.78404
122,0.9538975,0.5994003,0.6908553,0.4260201,71.51198
123,0.9569305,0.6035622,0.69115865,0.42521417,71.64847
124,0.9329694,0.58720136,0.69388837,0.42771816,71.39824
125,0.97270244,0.60537666,0.70382166,0.43274596,71.18593
126,0.9329694,0.59041125,0.6959357,0.4282482,71.45132
127,0.9451016,0.5976122,0.6878981,0.4210549,72.088264
128,0.94783133,0.5978297,0.6850925,0.4211971,71.93661
129,0.9681529,0.6122159,0.6863816,0.42136186,71.951775
130,0.95086443,0.5972508,0.6907037,0.42343518,71.86078
131,0.9378223,0.5923816,0.68046707,0.4184654,72.08068
132,0.9341826,0.5893743,0.68236274,0.4187223,72.148926
133,0.96299666,0.6039976,0.6787989,0.415872,72.40673
134,0.95359415,0.60236263,0.670458,0.40986183,72.86928
135,0.96633303,0.6061223,0.68607825,0.4202893,72.11859
136,0.9545041,0.59779996,0.6733394,0.41163367,72.75553
137,0.9347892,0.59172714,0.6725053,0.40957955,73.02093
138,0.94237185,0.5940673,0.67637247,0.4117485,72.88444
139,0.9420686,0.59476984,0.6727328,0.41131568,72.77828
140,0.9350925,0.59532565,0.670458,0.4087301,73.036095
141,0.9378223,0.5988434,0.6643919,0.40517533,73.25599
142,0.9538975,0.60562545,0.66916895,0.40790352,73.10434
143,0.9545041,0.59995925,0.66568094,0.40601283,73.210495
144,0.96148014,0.6035182,0.6649985,0.40586028,73.20291
145,0.96269333,0.6085944,0.6607522,0.40333387,73.3394
146,0.955414,0.6047004,0.65771914,0.39872506,73.90051
147,0.95238096,0.6053677,0.6570367,0.3998,73.6882
148,0.9532909,0.60056585,0.666515,0.40506846,73.39248
149,0.9414619,0.6007331,0.65734,0.39708114,74.10525
150,0.9435851,0.59831804,0.6450561,0.39114502,74.37822
151,0.9447983,0.5977094,0.64869577,0.39340892,74.22657
152,0.92750984,0.5920957,0.6602972,0.40176544,73.57446
153,0.9463148,0.60353667,0.64096147,0.3892654,74.45405
154,0.9569305,0.60339177,0.6469518,0.39143932,74.40097
155,0.9420686,0.59529144,0.64429784,0.39065307,74.40097
156,0.93691236,0.59377617,0.64869577,0.39285308,74.3024
157,0.92750984,0.58919555,0.64717925,0.39221752,74.30998
158,0.94601154,0.5946322,0.64346373,0.38791054,74.77252
159,0.9499545,0.6048791,0.6436154,0.38963047,74.52229
160,0.96360326,0.6140417,0.64308465,0.388514,74.65878
161,0.93054295,0.5911642,0.635047,0.38436747,74.87109
162,0.9584471,0.61073524,0.63595694,0.38276038,75.15923
163,0.9253867,0.5880936,0.6301183,0.38091585,75.15165
164,0.9748256,0.6152966,0.6413406,0.3863544,74.87109
165,0.9584471,0.60560113,0.63307554,0.38222703,75.07583
166,0.9505611,0.6026769,0.62829846,0.37924865,75.280556
167,0.9520776,0.60148406,0.6207916,0.37444475,75.63694
168,0.93751895,0.59605443,0.6261753,0.37822345,75.32606
169,0.96087354,0.60177493,0.6314073,0.3824749,74.97725
170,0.9796785,0.6160937,0.6320898,0.3815556,75.14407
171,0.9454049,0.598466,0.63535035,0.38228276,75.18957
172,0.9235669,0.5873537,0.63110405,0.37882426,75.492874
173,0.9705793,0.6107078,0.6163937,0.37099066,75.88717
174,0.9602669,0.6045422,0.6185927,0.37092248,76.03124
175,0.9793752,0.6192522,0.62374884,0.37465805,75.727936
176,0.93630576,0.5917199,0.6417956,0.3844451,75.15923
177,0.9493479,0.6047178,0.63383377,0.38102084,75.30331
178,0.9329694,0.5930603,0.62056416,0.37326384,75.7886
179,0.9711859,0.6098518,0.6194267,0.37236613,75.864426
180,0.96633303,0.61104774,0.6232939,0.37384817,75.81134
181,0.96087354,0.60737914,0.6138914,0.36807793,76.22081
182,0.9581438,0.6086747,0.61601454,0.36912456,76.17531
183,0.9526843,0.60681146,0.60994846,0.36532623,76.402794
184,0.93387926,0.59170234,0.6126782,0.36871794,76.0464
185,0.948438,0.5961977,0.60850775,0.36485383,76.41795
186,0.94661814,0.60241264,0.62033665,0.3723556,75.902336
187,0.9818016,0.6216174,0.61745524,0.37005195,76.0919
188,0.96784955,0.6087356,0.6075978,0.36395872,76.51653
189,0.9293297,0.59636885,0.6025174,0.3615892,76.615105
190,0.94783133,0.59729666,0.60395813,0.3617735,76.63027
191,0.97270244,0.6157315,0.60706705,0.36340228,76.56203
192,0.95662725,0.5991855,0.6008493,0.36032137,76.69852
193,0.96178347,0.60501885,0.61047924,0.36505762,76.49378
194,0.9717925,0.61454237,0.60911435,0.36479098,76.46345
195,0.95784044,0.60411143,0.6130573,0.36786106,76.21323
196,0.9787686,0.62173814,0.6041098,0.36154383,76.68335
197,0.96208674,0.6084311,0.60115254,0.36020976,76.74401
198,0.9496512,0.5978597,0.60426146,0.3612702,76.74401
199,0.9605702,0.60367537,0.6052472,0.3610942,76.81984
200,0.96724296,0.61586356,0.6094935,0.36282173,76.79709
201,0.9633,0.6065832,0.5972096,0.3559719,77.16864
202,0.96269333,0.6060774,0.59220505,0.35413665,77.19897
203,0.9563239,0.6013953,0.60138005,0.35827795,77.02457
204,0.9532909,0.6015407,0.59993935,0.35788387,77.01698
205,0.9802851,0.62342924,0.6008493,0.3579687,77.04732
206,0.95662725,0.604345,0.60706705,0.3631992,76.55444
207,0.95602065,0.60310274,0.6012284,0.36037523,76.72126
208,0.95935696,0.60609764,0.596148,0.35667828,77.001816
209,0.97573555,0.6152879,0.59971184,0.35752025,77.04732
210,0.96299666,0.61160177,0.593949,0.35405064,77.28238
211,0.96239007,0.60774297,0.6031999,0.3587184,77.06248
212,0.944495,0.6033105,0.5952381,0.35476625,77.25963
213,0.9526843,0.60561,0.5840158,0.34741703,77.760086
214,0.9542008,0.60617894,0.58515316,0.34804004,77.737335
215,0.9350925,0.59776664,0.59205335,0.35260612,77.4037
216,0.933576,0.5941243,0.5912951,0.35113436,77.5781
217,0.9633,0.60837036,0.59713376,0.35487857,77.34304
218,0.97907186,0.61777794,0.5895511,0.35070294,77.562935
219,0.93630576,0.59628576,0.58393997,0.34718275,77.79041
220,0.9451016,0.59971315,0.57529575,0.34032163,78.37428
221,0.9611768,0.6058469,0.5636184,0.333138,78.85199
222,0.9511677,0.6025849,0.563391,0.33241475,78.94298
223,0.9308462,0.59301907,0.55451924,0.32756382,79.21595
224,0.94752806,0.60150474,0.55125874,0.32509866,79.420685
225,0.9711859,0.61408085,0.55558085,0.32673216,79.39036
226,0.9557173,0.60564256,0.55262357,0.3256425,79.397934
227,0.9599636,0.60915875,0.55050045,0.32370806,79.5875
228,0.955414,0.6040925,0.5520928,0.3250825,79.45102
229,0.94752806,0.6015483,0.55125874,0.3244696,79.51168
230,0.9557173,0.6084375,0.54845315,0.32103235,79.868065
231,0.9745223,0.61379087,0.5431453,0.31950825,79.82256
232,0.9681529,0.61449254,0.54253864,0.3183766,79.95905
233,0.97270244,0.61565584,0.54640585,0.32093427,79.78465
234,0.96724296,0.6138955,0.54413104,0.31970242,79.845314
235,0.9493479,0.60240823,0.53768575,0.31581664,80.10313
236,0.944495,0.5989593,0.5467091,0.32194367,79.64058
237,0.95662725,0.60507184,0.5438277,0.3191919,79.91356
238,0.9569305,0.6039412,0.54360026,0.31848383,79.99696
